Name,Member_ID
Služba za informatiko,1
Kadrovska služba,1
Služba za finance,1
Pravna služba,1
Služba za izobraževalno dejavnost,1
Služba za mednarodno in meduniverzitetno sodelovanje,1
Visokošolska prijavno informacijska služba (VPIS),1
Služba za vseživljenjsko učenje in karierno orientacijo (VŽU in karierna orientacija),1
Služba za znanstveno - raziskovalno in razvojno dejavnost,1
Projektna pisarna,1
Služba za umetniško dejavnost,1
Služba za upravljanje s premoženjem,1
Služba za splošne zadeve,1
Služba za založniško dejavnost,1
Služba za habilitacije,1
Služba za kakovost,1
Služba za javna naročila in nabavo,1
Služba za javno podobo UP,1
Konfucijeva učilnica,1
Center za obštudijsko dejavnost UP,1
Univerzitetna knjižnica,1
Vodstvo,1
Kabinet rektorja,1
Tajništvo,1
Knjižnica FHŠ,2
Tajništvo FHŠ,2
Referat FHŠ,2
Tajništvo PEF,3
Referat PEF,3
Tajništvo FM,4
Knjižnica FM,4
Računovodstvo FM,4
Tajništvo FAMNIT,5
Knjižnica FAMNIT,5
Računovodstvo FAMNIT,5
Tajništvo IAM,6
Knjižnica IAM,6
Računovodstvo IAM,6
Tajništvo ŠD,7
Knjižnica ŠD,7
Vpis ŠD,7
Tajništvo FTŠ,8
Knjižnica FTŠ,8
Tajništvo FVZ,9
Informatika FVZ,9



